STAID,POS,PPT_MM,PET_MM,YLD_MM,yieldmm,USGS_RC,WAS_RC,tmax,tmin,p,swe,tmaxdvar,tmindvar,pdvar,swedvar
8190500,1980-01-01T05:00:00Z,21.6735718849293,42.0282784758103,1.57780642366182,0,0,0.0727986338402737,17.0611,2.92268,29.1387,0,15.7796,14.6909,7.24121,0
8190500,1980-02-01T05:00:00Z,12.6830165543589,42.9186833850459,1.36390575842589,0,0,0.107537962485521,18.4619,2.32289,15.9583,0,44.4494,18.4076,4.67313,0
8190500,1980-03-01T05:00:00Z,17.4748133549744,64.0115767789183,1.19448574175567,0,0,0.0683547067136855,22.6819,6.58066,21.1123,0,17.2119,31.4537,6.03039,0
8190500,1980-04-01T05:00:00Z,9.38319128542177,87.8487836306483,0.969827071288124,0,0,0.103357913292773,28.0008,9.96106,6.48129,0,12.006,17.7711,0.932031,0
8190500,1980-05-01T04:00:00Z,70.6303868500456,123.959559913371,2.38220233022815,0,0,0.0337277259331138,30.2888,16.6639,87.9458,0,5.24947,4.41475,31.2818,0
8190500,1980-06-01T04:00:00Z,20.8427649338109,163.212746963964,1.22767563674022,0,0,0.0589017647437309,35.4353,21.5837,30.5062,0,11.0777,2.15545,15.0983,0
8190500,1980-07-01T04:00:00Z,15.4371805225699,179.405745465264,0.708992960790391,0,0,0.045927619992123,37.9275,21.8583,7.59213,0,1.04424,0.777072,1.06503,0
8190500,1980-08-01T04:00:00Z,66.1883021932854,150.057005214429,1.51155150759771,0.00127830252494317,1.93131185207052e-05,0.0228371397589808,33.957,21.004,79.2116,0,4.4427,1.82214,90.9859,0
8190500,1980-09-01T04:00:00Z,73.4435692081959,124.972877393743,3.51726133670028,0,0,0.04789066455539,32.2867,20.092,53.8815,0,6.45303,1.35977,13.9205,0
8190500,1980-10-01T04:00:00Z,10.1814726061552,78.3849837022236,1.70501995707644,0,0,0.167463000985305,26.6329,11.1568,2.0715,0,14.7042,25.5514,0.138423,0
8190500,1980-11-01T05:00:00Z,55.6807612187804,48.0612865771544,1.78903255779543,0,0,0.0321301742044434,19.8452,5.18608,67.6516,0,60.7346,20.8186,40.3183,0
8190500,1980-12-01T05:00:00Z,29.0557644801342,42.4802057484824,1.91931232237986,0,0,0.0660561632681226,16.7968,3.69425,38.6867,0,26.4354,25.9859,10.8139,0
8190500,1981-01-01T05:00:00Z,17.6135445564228,39.4411874216912,1.35579354045796,0,0,0.0769744860902268,15.9602,2.42288,26.7438,0,28.9804,7.4163,8.60753,0
8190500,1981-02-01T05:00:00Z,11.0275317046592,45.0989476889196,1.11483658820167,0,0,0.101095749988245,17.5835,4.58478,7.39683,0,28.9565,34.8489,0.364168,0
8190500,1981-03-01T05:00:00Z,77.7724975138098,61.6011788043563,3.90745551317711,0.000353573038814067,4.54624771116916e-06,0.050242124633882,20.3687,7.50892,92.166,0,12.4419,10.115,35.1919,0
8190500,1981-04-01T05:00:00Z,141.530817180615,92.3459151609353,13.7300727038545,7.69293338681222,0.0543551824264171,0.0970111879332456,25.5497,14.5601,142.708,0,4.7327,10.896,172.922,0
8190500,1981-05-01T04:00:00Z,85.1951035204534,114.8375417089,10.8724290736177,0.49173850321218,0.00577191039029755,0.127618004138084,28.5763,15.5404,76.1867,0,8.97011,8.34435,33.3782,0
8190500,1981-06-01T04:00:00Z,215.530610035069,133.702726830354,77.2094264389641,29.984353587736,0.139118771031443,0.35822951749824,30.3576,19.5087,234.981,0,3.78271,6.31328,300.105,0
8190500,1981-07-01T04:00:00Z,29.0982927183056,154.575127747641,11.9860661394958,2.70891343583701,0.0930952706422135,0.411916474122052,33.345,21.0376,8.51536,0,2.69574,0.847162,2.10987,0
8190500,1981-08-01T04:00:00Z,92.962933389641,145.371293119719,10.4301568299269,0.239341749351061,0.00257459334192795,0.11219694183068,34.1365,20.1619,95.9079,0,3.59832,2.27809,98.5742,0
8190500,1981-09-01T04:00:00Z,58.018160107136,114.041921277095,7.1810081524234,0.168899120848874,0.002911142313665,0.123771731801956,31.1521,17.7739,53.8292,0,3.47742,8.27652,26.9921,0
8190500,1981-10-01T04:00:00Z,235.004593016211,83.7595044485506,97.5735693776955,46.9351890270037,0.199720305142147,0.41519856325091,26.0684,14.0046,189.89,0,20.626,25.9095,284.262,0
8190500,1981-11-01T05:00:00Z,5.2624276666265,57.005890161901,19.2443200881767,0.705514202064377,0.134066299198493,3.65692819118849,23.9937,6.95689,3.59837,0,6.73673,15.2163,0.431608,0
8190500,1981-12-01T05:00:00Z,1.14139468160939,42.5680920484073,4.1879597545067,0.125518428778994,0.109969347852586,3.66916003901612,19.0707,2.05087,0,0,14.9062,18.8628,0,0
8190500,1982-01-01T05:00:00Z,5.80312466905296,41.2716438313775,3.31794467771237,0.0262052017613349,0.0045157054614185,0.571751404102411,18.4765,0.759442,5.57486,34.666,29.7852,41.7466,1.00255,4.02824
8190500,1982-02-01T05:00:00Z,67.2403852693626,40.1563459183725,5.92498001210626,0.0466308442343629,0.000693494602203146,0.0881163899994177,16.9458,2.48686,70.2615,0,44.415,34.478,43.0999,0
8190500,1982-03-01T05:00:00Z,10.2056609056155,72.7156230246154,4.65505514591776,0.0651798298090702,0.00638663486979137,0.456124810433042,23.6285,9.98677,13.6929,0,25.227,31.9571,2.28537,0
8190500,1982-04-01T05:00:00Z,20.8480770339226,89.446618126275,3.01263220933648,0.0140749267374061,0.000675118703490223,0.144504080852854,26.8305,12.2224,27.6775,0,28.2066,14.5577,5.17264,0
8190500,1982-05-01T04:00:00Z,115.122213885916,115.125292051775,11.3708421114408,0.678615453188445,0.00589473942762205,0.0987719200979681,28.0345,16.6581,83.3877,0,6.74073,12.0037,62.4261,0
8190500,1982-06-01T04:00:00Z,66.1993129727536,145.015989506053,7.87421579794672,0.110423579814239,0.00166804721764541,0.118947092414503,32.4537,20.3857,50.1084,0,1.16376,3.1619,21.7676,0
8190500,1982-07-01T04:00:00Z,28.8435946716826,159.52215146758,3.25292847017839,0.0225334817428811,0.000781230009621634,0.112778192427311,34.5299,21.2487,14.0552,0,3.55974,0.373259,2.48735,0
8190500,1982-08-01T04:00:00Z,20.0025555322066,157.827226582755,2.13925301256731,0.00182226104619558,9.11014116801982e-05,0.106948985049577,36.2938,21.1617,3.77351,0,1.63291,0.674974,0.213137,0
8190500,1982-09-01T04:00:00Z,43.3663086850374,118.096899299354,2.15076775559232,0.00141429215525627,3.26126940046489e-05,0.0495953614870246,32.8104,18.0751,25.8133,0,4.21412,7.10861,11.3434,0
8190500,1982-10-01T04:00:00Z,10.2183307573353,86.1119382623681,1.90393509859843,0.000843135707941237,8.25120783388213e-05,0.186325452151926,27.68,13.4467,5.97553,0,19.9347,22.8609,0.792786,0
8190500,1982-11-01T05:00:00Z,43.2928816212418,52.4687450243529,1.59400869680645,0.00116951082069268,2.70139287775858e-05,0.0368191868296505,20.7309,7.49066,67.476,0,31.9831,39.5116,40.1119,0
8190500,1982-12-01T05:00:00Z,32.0305935460474,40.0686692154673,2.01636691311284,0.00146868800738151,4.58526628696441e-05,0.06295128156817,17.1291,2.63217,35.6799,0,30.0469,9.9746,10.805,0
8190500,1983-01-01T05:00:00Z,28.8580585131446,37.8681883424568,1.82342139494109,0.0033045480166084,0.000114510406689459,0.0631858651929248,16.2212,1.47093,36.8997,0,16.2444,8.91313,20.6511,0
8190500,1983-02-01T05:00:00Z,34.6126107477018,43.320657855268,1.98033362423378,0.00193105275044606,5.57904390547678e-05,0.0572142228353945,18.5346,3.4334,26.4266,0,8.56267,3.53456,11.9789,0
8190500,1983-03-01T05:00:00Z,40.5833272607519,62.1354058488877,1.62048038517437,0.00111511496856744,2.74771696613912e-05,0.0399297074575139,21.9737,7.09684,46.2639,0,10.5664,10.9612,13.5879,0
8190500,1983-04-01T05:00:00Z,4.61596499049841,82.3081878808732,1.32330033657657,0,0,0.286679023627882,27.118,9.43927,0,0,21.5413,28.6121,0,0
8190500,1983-05-01T04:00:00Z,70.511700593021,120.998773235945,2.79396880819233,0.0134765723640285,0.000191125334528697,0.0396241869745639,30.5887,15.9726,82.8925,0,5.75332,8.35428,48.9357,0
8190500,1983-06-01T04:00:00Z,133.440840382945,132.612985874921,10.0084687282211,7.34202574475229,0.0550208296326847,0.0750030402948533,31.1157,18.6081,153.589,0,7.15384,5.91877,194.051,0
8190500,1983-07-01T04:00:00Z,13.0658635918612,157.503537871787,4.23849314322665,0.0509689134413509,0.00390092190102915,0.32439441246477,34.2625,20.9474,10.0254,0,1.57427,1.75605,1.87221,0
8190500,1983-08-01T04:00:00Z,60.2991482887845,153.277374121353,2.71074713403007,0.00745223174115803,0.000123587678311273,0.0449549821342048,35.3947,20.8573,47.7567,0,2.31331,1.18096,21.6727,0
8190500,1983-09-01T04:00:00Z,51.622457464176,118.856694055445,2.46534733337862,0,0,0.0477572640761916,32.4943,18.302,30.1915,0,12.1919,12.4037,15.0961,0
8190500,1983-10-01T04:00:00Z,119.117172534818,87.8449507870644,9.4143813684922,6.37682574464201,0.0535340590188879,0.0790346275700958,27.5645,14.2648,113.614,0,7.57724,14.9243,202.005,0
8190500,1983-11-01T05:00:00Z,60.2868169741859,55.708813573016,7.17146374574352,0.82001747078801,0.0136019367408157,0.118955753607198,22.7663,7.7881,60.012,0,11.9765,34.8625,55.9434,0
8190500,1983-12-01T05:00:00Z,1.23508159506683,30.6483748531346,3.35413306444759,0.0592914788165128,0.0480061228774965,2.71571779374309,13.1959,-2.25646,0.226967,0,61.6191,42.6216,0.00150944,0
8190500,1984-01-01T05:00:00Z,37.7905434732295,33.354742254664,3.16105006849363,0.00505881424764742,0.00013386455400492,0.0836465892778941,12.991,0.22576,40.3493,0,37.3422,14.2017,22.4092,0
8190500,1984-02-01T05:00:00Z,6.46810378662222,44.5450787932116,2.4721909368237,0.00228462578926013,0.000353214151261047,0.382212626509929,19.7149,2.62373,0.78119,0,19.0348,14.933,0.0121262,0
8190500,1984-03-01T05:00:00Z,6.83118079785823,70.7001008598236,2.448987383416,0.000571156447315031,8.36102079883619e-05,0.35850132735234,24.8116,8.04658,7.98608,0,13.8469,25.868,0.699846,0
8190500,1984-04-01T05:00:00Z,6.52751274556023,92.2235800831737,1.77674812898764,0.000122390667281792,1.87499698663994e-05,0.272193743351343,29.9902,10.7898,0,0,12.2571,12.2459,0,0
8190500,1984-05-01T04:00:00Z,25.2567226318592,131.125370863997,1.57410266802224,0,0,0.0623241063762027,32.7116,16.5343,20.8959,0,13.816,10.5582,5.46447,0
8190500,1984-06-01T04:00:00Z,13.4258589588092,150.395478254272,1.25953766472952,0,0,0.0938143077916878,34.2383,20.2184,6.47073,0,5.83832,4.97248,0.703602,0
8190500,1984-07-01T04:00:00Z,78.4773937418552,158.676448471879,3.58925261617005,0.00149588593344413,1.9061361012634e-05,0.0457361342551282,35.2783,20.6344,79.4271,0,3.39123,2.33331,98.8123,0
8190500,1984-08-01T04:00:00Z,14.4213714983588,152.835564330432,1.62583013660408,0.000543958521252411,3.77189174631773e-05,0.112737553206303,34.9692,21.2776,1.5,0,1.9163,0.77158,0.072007,0
8190500,1984-09-01T04:00:00Z,24.2666478972449,110.655862278649,1.04679090142185,0.000108791704250482,4.48317809328884e-06,0.0431370210609391,31.193,17.2355,26.8129,0,15.4262,14.0241,23.9643,0
8190500,1984-10-01T04:00:00Z,89.5527821722458,83.9032354016402,4.86645880246352,0.00633711677259059,7.0764041260067e-05,0.0543417935704485,25.4254,14.9885,96.4084,0,20.5899,8.3251,37.8787,0
8190500,1984-11-01T05:00:00Z,40.3028582732864,51.1292975190716,3.53756268046415,0.00647310640290369,0.000160611596304429,0.0877744862777866,19.8124,7.46443,42.333,0,23.839,30.5501,15.7784,0
8190500,1984-12-01T05:00:00Z,116.618729955797,50.2045995595286,10.9705861696624,6.92853567482227,0.0594118601484379,0.0940722487187145,18.868,7.70989,80.1996,0,12.7988,27.8172,39.7914,0
8190500,1985-01-01T05:00:00Z,33.8616633566869,32.6721407840025,7.64777318570371,2.88189224559527,0.0851078169208177,0.22585344095902,13.1699,-1.2476,40.0849,232.259,38.4128,19.8308,20.2036,60.8836
8190500,1985-02-01T05:00:00Z,15.9693287486863,40.4120980787839,2.8794253579276,0.120486812457409,0.00754488897771117,0.180309730186028,15.5825,2.984,16.5139,0,40.0576,52.1931,9.66593,0
8190500,1985-03-01T05:00:00Z,20.0431664434041,71.1470073636322,2.50436351667463,0.0783300270603472,0.00390806648647697,0.12494849672312,22.0375,10.3033,28.6622,0,16.7171,17.9257,6.44044,0
8190500,1985-04-01T05:00:00Z,38.8098933070408,92.533982154645,1.83592886946412,0.0370571742603205,0.00095483834410845,0.0473056922609744,27.2392,12.9209,48.9376,0,16.5938,14.5852,18.2782,0
8190500,1985-05-01T04:00:00Z,68.4312597019239,129.842218864137,3.90470151866291,0.0252940712382371,0.000369627438518803,0.0570602022477914,31.0684,17.8588,68.8258,0,5.14569,7.68696,50.4824,0
8190500,1985-06-01T04:00:00Z,97.2757554580034,139.28847431151,8.45924986975462,0.05895150474073,0.000606024640602056,0.0869615438083821,31.9367,19.7432,98.0499,0,4.16518,6.24761,69.4287,0
8190500,1985-07-01T04:00:00Z,43.5735974968315,148.914569211822,4.00420947825374,0.324879226818002,0.00745587340686355,0.0918953152432482,33.14,20.0692,32.6655,0,1.50505,2.65405,16.7196,0
